xrp     | trade_in_use 85.828 coin
[(10387685, 0.0998), (10318403, 0.09992000000000001), (10316484, 0.09992000000000001), (10305206, 0.009992000000000001), (10305019, 0.00998546), (10304867, 0.01665332), (9910816, 0.82852404), (9908787, 0.16760432328407088), (9907696, 0.017075873516126272)]
2018-01-05 22:47:34 | Price: p:1,492,000/b:1,487,250/a:1,492,050/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   1600/  3050/  -100 Avg: 1493538/1489493 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:47:34 | Price: p:1,492,000/b:1,487,250/a:1,492,000/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   1900/  3350/   200 Avg: 1493511/1489970 |  lat:  112 ms| bidding (0) | balance:170741  
2018-01-05 22:47:43 | Price: p:1,495,000/b:1,487,250/a:1,498,000/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   9350/ 10800/  7650 Avg: 1493604/1491594 |  lat:  127 ms| bidding (0) | balance:170741  
2018-01-05 22:47:43 | Price: p:1,499,750/b:1,487,250/a:1,499,750/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   9350/ 10800/  7650 Avg: 1493604/1491594 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:47:43 | Price: p:1,499,750/b:1,487,250/a:1,491,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   9350/ 10800/  7650 Avg: 1493604/1491594 |  lat:   47 ms| bidding (0) | balance:170741  
2018-01-05 22:47:43 | Price: p:1,499,750/b:1,487,250/a:1,491,900/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   4750/ 10800/  7650 Avg: 1493617/1491594 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:47:57 | Price: p:1,491,900/b:1,487,250/a:1,491,900/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -3100/  2950/  -200 Avg: 1493610/1491601 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:47:57 | Price: p:1,491,900/b:1,487,250/a:1,492,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -3100/  2950/  -200 Avg: 1493610/1491601 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,487,250/b:1,487,200/a:1,491,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/  9000/  5850 Avg: 1493567/1491633 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,200/a:1,499,500/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  5850 Avg: 1493567/1491618 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,250/a:1,497,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  5950 Avg: 1493567/1491618 |  lat:   59 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  5950 Avg: 1493567/1491618 |  lat:   62 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  6050 Avg: 1493567/1491618 |  lat:   80 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,750/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  6050 Avg: 1493567/1491618 |  lat:   57 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  6050 Avg: 1493567/1491618 |  lat:   99 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,750/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/  6050 Avg: 1493567/1491618 |  lat:   43 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,700/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/ 10700 Avg: 1493567/1491618 |  lat:   48 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,600/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   2950/ 11450/ 10700 Avg: 1493567/1491618 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:48:16 | Price: p:1,497,950/b:1,487,300/a:1,497,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   5950/ 11450/ 10700 Avg: 1493562/1491618 |  lat:   45 ms| bidding (0) | balance:170741  
2018-01-05 22:49:14 | Price: p:1,497,550/b:1,487,300/a:1,497,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   5550/ 11050/ 10350 Avg: 1493577/1491756 |  lat:   72 ms| bidding (0) | balance:170741  
2018-01-05 22:49:14 | Price: p:1,497,550/b:1,487,350/a:1,497,550/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:   5550/ 11050/     0 Avg: 1493577/1491756 |  lat:   88 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,487,350/a:1,497,150/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/   850/-10200 Avg: 1493554/1491656 |  lat:   47 ms| bidding (0) | balance:170741  
2018-01-05 22:49:19 | Price: p:1,487,350/b:1,487,350/a:1,497,100/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -4650/   850/-10200 Avg: 1493554/1491656 |  lat:   48 ms| bidding (0) | balance:170741  
