2017-12-22 10:42:35 | Price: p:1650/b:1650/a:1654/l:1694 | Buy: 1656/1705 |  1Hr: delta: -106 1623/1689/1762 tx: 2594 | 10Min: delta: -14 1646/1657/1667 |  tx: 455 lat:  105 ms| bidding (0) | balance:101428  
2017-12-22 10:42:39 | Price: p:1650/b:1648/a:1649/l:1694 | Buy: 1656/1705 |  1Hr: delta: -111 1623/1689/1762 tx: 2601 | 10Min: delta: -15 1646/1656/1667 |  tx: 463 lat:   86 ms| bidding (0) | balance:101428  
2017-12-22 10:42:40 | Price: p:1649/b:1647/a:1649/l:1694 | Buy: 1656/1705 |  1Hr: delta: -111 1623/1689/1762 tx: 2601 | 10Min: delta: -15 1646/1656/1667 |  tx: 463 lat:  119 ms| bidding (0) | balance:101428  
2017-12-22 10:42:44 | Price: p:1649/b:1647/a:1649/l:1694 | Buy: 1656/1705 |  1Hr: delta: -111 1623/1688/1760 tx: 2597 | 10Min: delta: -15 1646/1656/1667 |  tx: 465 lat:  162 ms| bidding (0) | balance:101428  
2017-12-22 10:42:47 | Price: p:1645/b:1645/a:1649/l:1694 | Buy: 1656/1705 |  1Hr: delta: -115 1623/1688/1760 tx: 2603 | 10Min: delta: -19 1645/1656/1667 |  tx: 469 lat:  100 ms| bidding (0) | balance:101428  
2017-12-22 10:42:50 | Price: p:1645/b:1645/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -115 1623/1688/1760 tx: 2606 | 10Min: delta: -19 1645/1656/1667 |  tx: 472 lat:   85 ms| bidding (0) | balance:101428  
2017-12-22 10:42:51 | Price: p:1645/b:1645/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -115 1623/1688/1760 tx: 2608 | 10Min: delta: -19 1645/1656/1667 |  tx: 474 lat:   75 ms| bidding (0) | balance:101428  
2017-12-22 10:42:54 | Price: p:1645/b:1645/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -115 1623/1688/1760 tx: 2608 | 10Min: delta: -19 1645/1656/1667 |  tx: 474 lat:  163 ms| bidding (0) | balance:101428  
2017-12-22 10:42:56 | Price: p:1645/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2609 | 10Min: delta: -18 1645/1656/1667 |  tx: 475 lat:  125 ms| bidding (0) | balance:101428  
2017-12-22 10:42:57 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2609 | 10Min: delta: -14 1645/1656/1667 |  tx: 472 lat:  126 ms| bidding (0) | balance:101428  
2017-12-22 10:42:59 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2611 | 10Min: delta: -14 1645/1656/1667 |  tx: 475 lat:  119 ms| bidding (0) | balance:101428  
2017-12-22 10:43:01 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2614 | 10Min: delta: -14 1645/1656/1667 |  tx: 478 lat:  105 ms| bidding (0) | balance:101428  
2017-12-22 10:43:02 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2614 | 10Min: delta: -11 1645/1656/1667 |  tx: 469 lat:   53 ms| bidding (0) | balance:101428  
2017-12-22 10:43:04 | Price: p:1647/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -113 1623/1688/1760 tx: 2616 | 10Min: delta: -16 1645/1656/1667 |  tx: 470 lat:  119 ms| bidding (0) | balance:101428  
2017-12-22 10:43:05 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2620 | 10Min: delta: -17 1645/1656/1667 |  tx: 474 lat:   81 ms| bidding (0) | balance:101428  
2017-12-22 10:43:06 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2620 | 10Min: delta: -17 1645/1656/1667 |  tx: 474 lat:   68 ms| bidding (0) | balance:101428  
2017-12-22 10:43:09 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2621 | 10Min: delta: -14 1645/1656/1667 |  tx: 474 lat:   60 ms| bidding (0) | balance:101428  
2017-12-22 10:43:15 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2621 | 10Min: delta: -12 1645/1656/1667 |  tx: 472 lat:   79 ms| bidding (0) | balance:101428  
2017-12-22 10:43:18 | Price: p:1646/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -113 1623/1688/1760 tx: 2623 | 10Min: delta: -11 1645/1656/1667 |  tx: 474 lat:  110 ms| bidding (0) | balance:101428  
2017-12-22 10:43:20 | Price: p:1647/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -113 1623/1688/1760 tx: 2623 | 10Min: delta: -11 1645/1656/1667 |  tx: 474 lat:  117 ms| bidding (0) | balance:101428  
2017-12-22 10:43:23 | Price: p:1649/b:1646/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2632 | 10Min: delta: -17 1645/1655/1667 |  tx: 482 lat:   62 ms| bidding (0) | balance:101428  
2017-12-22 10:43:24 | Price: p:1646/b:1645/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1688/1760 tx: 2634 | 10Min: delta: -17 1645/1655/1667 |  tx: 484 lat:   57 ms| bidding (0) | balance:101428  
