2017-12-21 04:16:22 | Price: p:1034000/b:1034000/a:1034550 | Buy: 0/0 |  1Hr: delta: -8350 1033700/1039966/1049950 tx: 226 | 10Min: delta: -2750 1034000/1034847/1037050 |  tx:  68 lat:   41 ms| bidding (0) | balance:100000  
2017-12-21 04:16:26 | Price: p:1034000/b:1033050/a:1034550 | Buy: 0/0 |  1Hr: delta: -10950 1033700/1039929/1049950 tx: 226 | 10Min: delta: -2750 1034000/1034834/1037050 |  tx:  69 lat:   63 ms| bidding (0) | balance:100000  
2017-12-21 04:16:55 | Price: p:1034550/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039859/1049950 tx: 227 | 10Min: delta: -2450 1034000/1034499/1037050 |  tx:  54 lat:   85 ms| bidding (0) | balance:100000  
2017-12-21 04:16:56 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039859/1049950 tx: 227 | 10Min: delta: -2450 1034000/1034499/1037050 |  tx:  54 lat:   67 ms| bidding (0) | balance:100000  
2017-12-21 04:17:04 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039836/1049950 tx: 228 | 10Min: delta: -2450 1034000/1034500/1037050 |  tx:  55 lat:   48 ms| bidding (0) | balance:100000  
2017-12-21 04:17:08 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039813/1049950 tx: 229 | 10Min: delta: -2450 1034000/1034502/1037050 |  tx:  56 lat:   42 ms| bidding (0) | balance:100000  
2017-12-21 04:17:12 | Price: p:1034600/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039791/1049950 tx: 230 | 10Min: delta: -100 1034000/1034458/1034700 |  tx:  56 lat:   40 ms| bidding (0) | balance:100000  
2017-12-21 04:17:17 | Price: p:1034550/b:1033050/a:1034550 | Buy: 0/0 |  1Hr: delta: -10350 1033700/1039746/1049950 tx: 232 | 10Min: delta: -150 1034000/1034457/1034700 |  tx:  57 lat:   98 ms| bidding (0) | balance:100000  
2017-12-21 04:17:23 | Price: p:1034550/b:1034550/a:1034600 | Buy: 0/0 |  1Hr: delta: -7850 1033700/1039679/1049950 tx: 231 | 10Min: delta: -100 1034000/1034455/1034650 |  tx:  57 lat:  368 ms| bidding (0) | balance:100000  
2017-12-21 04:17:24 | Price: p:1034550/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -7850 1033700/1039679/1049950 tx: 231 | 10Min: delta: -100 1034000/1034455/1034650 |  tx:  57 lat:   47 ms| bidding (0) | balance:100000  
2017-12-21 04:17:29 | Price: p:1034550/b:1033050/a:1034500 | Buy: 0/0 |  1Hr: delta: -7850 1033700/1039679/1049950 tx: 231 | 10Min: delta: -100 1034000/1034455/1034650 |  tx:  57 lat:   40 ms| bidding (0) | balance:100000  
2017-12-21 04:17:32 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -7800 1033700/1039591/1049950 tx: 235 | 10Min: delta: -50 1034000/1034462/1034650 |  tx:  61 lat:   45 ms| bidding (0) | balance:100000  
2017-12-21 04:17:36 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -7800 1033700/1039570/1049950 tx: 236 | 10Min: delta: -50 1034000/1034464/1034650 |  tx:  62 lat:   94 ms| bidding (0) | balance:100000  
2017-12-21 04:17:37 | Price: p:1034600/b:1034500/a:1034600 | Buy: 0/0 |  1Hr: delta: -7800 1033700/1039570/1049950 tx: 236 | 10Min: delta: -50 1034000/1034464/1034650 |  tx:  62 lat:   43 ms| bidding (0) | balance:100000  
2017-12-21 04:17:37 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -7800 1033700/1039570/1049950 tx: 236 | 10Min: delta: -50 1034000/1034464/1034650 |  tx:  62 lat:   47 ms| bidding (0) | balance:100000  
2017-12-21 04:17:41 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -7800 1033700/1039549/1049950 tx: 237 | 10Min: delta: -50 1034000/1034466/1034650 |  tx:  63 lat:   49 ms| bidding (0) | balance:100000  
2017-12-21 04:17:51 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -7800 1033700/1039549/1049950 tx: 237 | 10Min: delta: -50 1034000/1034466/1034650 |  tx:  63 lat:   72 ms| bidding (0) | balance:100000  
2017-12-21 04:17:55 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039471/1049950 tx: 236 | 10Min: delta: -50 1034000/1034470/1034650 |  tx:  65 lat:   49 ms| bidding (0) | balance:100000  
2017-12-21 04:17:56 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039451/1049950 tx: 237 | 10Min: delta: -50 1034000/1034472/1034650 |  tx:  66 lat:   48 ms| bidding (0) | balance:100000  
2017-12-21 04:18:08 | Price: p:1034600/b:1033050/a:1034600 | Buy: 0/0 |  1Hr: delta: -10300 1033700/1039430/1049950 tx: 238 | 10Min: delta: -50 1034000/1034474/1034650 |  tx:  67 lat:   46 ms| bidding (0) | balance:100000  
