2018-01-05 03:49:47 | Price: p:4390/b:4389/a:4390/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -116/ -19/  -1 Avg: 4447/4399 |  lat:   53 ms| bidding (0) | balance:500000  
2018-01-05 03:50:00 | Price: p:4388/b:4388/a:4390/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -117/ -21/  -3 Avg: 4447/4398 |  lat:   52 ms| bidding (0) | balance:500000  
2018-01-05 03:50:06 | Price: p:4388/b:4388/a:4390/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -117/ -21/ -11 Avg: 4446/4398 |  lat:   51 ms| bidding (0) | balance:500000  
2018-01-05 03:50:10 | Price: p:4385/b:4385/a:4390/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -25/ -14 Avg: 4446/4397 |  lat:   99 ms| bidding (0) | balance:500000  
2018-01-05 03:50:11 | Price: p:4385/b:4388/a:4390/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -25/  -6 Avg: 4446/4397 |  lat:   74 ms| bidding (0) | balance:500000  
2018-01-05 03:50:20 | Price: p:4390/b:4388/a:4390/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -19/   0 Avg: 4446/4397 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:50:22 | Price: p:4388/b:4387/a:4388/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -117/ -21/  -2 Avg: 4446/4397 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:50:25 | Price: p:4385/b:4385/a:4388/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -21/  -5 Avg: 4445/4397 |  lat:   59 ms| bidding (0) | balance:500000  
2018-01-05 03:50:41 | Price: p:4388/b:4385/a:4388/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -122/ -12/  -2 Avg: 4445/4396 |  lat:   50 ms| bidding (0) | balance:500000  
2018-01-05 03:50:52 | Price: p:4381/b:4381/a:4388/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -123/ -20/  -9 Avg: 4444/4395 |  lat:  186 ms| bidding (0) | balance:500000  
2018-01-05 03:50:53 | Price: p:4380/b:4380/a:4388/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -123/ -20/  -9 Avg: 4444/4395 |  lat:   51 ms| bidding (0) | balance:500000  
